,Country/Region,PopTotal
0,Afghanistan,38928.341
1,Albania,2877.8
2,Algeria,43851.043
3,Andorra,77.265
4,Argentina,45195.777
5,Armenia,2963.2340000000004
6,Australia,25499.881
7,Austria,9006.4
8,Azerbaijan,10139.175
9,Bahrain,1701.5829999999999
10,Bangladesh,164689.383
11,Belarus,9449.321
12,Belgium,11589.616000000002
13,Bhutan,771.612
14,Bolivia,11673.028999999999
15,Bosnia and Herzegovina,3280.815
16,Brazil,212559.40899999999
17,Brunei,437.483
18,Bulgaria,6948.445
19,Burkina Faso,20903.278000000002
20,Cambodia,16718.971
21,Cameroon,26545.863999999998
22,Canada,37742.157
23,Channel Islands,173.859
24,Chile,19116.209
29,Colombia,50882.884000000005
36,Congo (Kinshasa),89561.40400000001
30,Costa Rica,5094.1140000000005
35,Cote d'Ivoire,26378.275
31,Croatia,4105.268
123,Cruise Ship,3.711
32,Cuba,11326.616000000002
33,Cyprus,1207.361
34,Czech Republic,10708.982
37,Denmark,5792.203
38,Dominican Republic,10847.903999999999
39,Ecuador,17643.06
40,Egypt,102334.403
41,Estonia,1326.539
42,Faroe Islands,48.865
43,Finland,5540.718000000001
44,France,65273.512
45,French Guiana,298.682
46,Georgia,3989.175
47,Germany,83783.945
48,Gibraltar,33.691
49,Greece,10423.056
50,Guyana,786.559
52,Honduras,9904.608
26,Hong Kong,7496.988
53,Hungary,9660.35
54,Iceland,341.25
55,India,1380004.385
56,Indonesia,273523.62100000004
57,Iran,83992.95300000001
58,Iraq,40222.503
59,Ireland,4937.795999999999
60,Israel,8655.541
61,Italy,60461.828
62,Jamaica,2961.1609999999996
63,Japan,126476.45800000001
64,Jordan,10203.14
65,Kuwait,4270.563
66,Latvia,1886.2020000000002
67,Lebanon,6825.441999999999
68,Liechtenstein,38.137
69,Lithuania,2722.2909999999997
70,Luxembourg,625.976
27,Macau,649.342
25,Mainland China,1439323.774
71,Malaysia,32365.998
72,Maldives,540.5419999999999
73,Malta,441.539
74,Martinique,375.265
75,Mexico,128932.75300000001
95,Moldova,4033.9629999999997
76,Monaco,39.244
77,Mongolia,3278.292
78,Morocco,36910.558
79,Nepal,29136.807999999997
80,Netherlands,17134.873
81,New Zealand,4822.233
82,Nigeria,206139.587
124,North Ireland,1810.863
83,North Macedonia,2083.38
84,Norway,5421.241999999999
85,Oman,5106.622
125,Others,
86,Pakistan,220892.331
110,Palestine,5101.416
87,Panama,4314.768
88,Paraguay,7132.53
89,Peru,32971.846
90,Philippines,109581.085
91,Poland,37846.605
92,Portugal,10196.707
93,Qatar,2881.06
126,Reunion,
96,Romania,19237.682
97,Russia,145934.46
98,Saint Barthelemy,9.885
100,San Marino,33.938
101,Saudi Arabia,34813.867
102,Senegal,16743.93
103,Serbia,8737.37
104,Singapore,5850.343000000001
105,Slovakia,5459.643
106,Slovenia,2078.9320000000002
107,South Africa,59308.69
94,South Korea,51269.183
108,Spain,46754.782999999996
109,Sri Lanka,21413.25
99,St. Martin,38.659
111,Sweden,10099.27
112,Switzerland,8654.618
28,Taiwan,23816.775
113,Thailand,69799.978
114,Togo,8278.737
115,Tunisia,11818.618
116,Turkey,84339.067
119,UK,67886.004
120,US,331002.647
117,Ukraine,43733.759000000005
118,United Arab Emirates,9890.4
51,Vatican City,0.809
121,Vietnam,97338.58300000001
