,Country/Region,PopTotal
0,Antigua and Barbuda,97.928
1,"Bahamas, The",393.24800000000005
2,Barbados,287.371
3,Benin,12123.198
4,Central African Republic,4829.764
5,Chad,16425.859
6,Congo (Brazzaville),5518.092
7,Djibouti,988.002
8,El Salvador,6486.201
9,Equatorial Guinea,1402.985
10,Eswatini,1160.164
11,Ethiopia,114963.58300000001
12,Fiji,896.444
13,Gabon,2225.728
14,"Gambia, The",2416.6639999999998
15,Ghana,31072.945
16,Guatemala,17915.567
17,Guinea,13132.792
18,Kazakhstan,18776.707
19,Kenya,53771.3
40,Kosovo,1831.463
20,Kyrgyzstan,6524.191
21,Liberia,5057.677
22,Mauritania,4649.66
23,Mauritius,1271.767
24,Montenegro,628.062
25,Namibia,2540.916
26,Nicaragua,6624.554
27,Rwanda,12952.208999999999
28,Saint Lucia,183.62900000000002
29,Saint Vincent and the Grenadines,110.947
30,Seychelles,98.34
31,Somalia,15893.219
32,Sudan,43849.269
33,Suriname,586.634
35,Tanzania,59734.212999999996
34,Trinidad and Tobago,1399.491
36,Uruguay,3473.7270000000003
37,Uzbekistan,33469.199
38,Venezuela,28435.943
39,Zambia,18383.956000000002
